userID,friendID
145,314971
145,726202
145,900119
145,929711
211,761788
211,804583
211,898638
1539,110303
1539,478340
1539,564398
1539,726202
1539,768985
1539,769063
1539,856942
1539,879323
1539,994557
2214,5795
2214,139237
2214,173252
2214,194857
2214,199187
2214,233229
2214,268330
2214,292231
2214,350287
2214,570255
2214,704438
2214,764143
2214,779845
2214,823668
2214,839495
2214,845632
2214,891920
2214,914527
2214,939238
2214,965152
3028,106743
3028,223286
3028,259799
3028,409584
3028,548651
3028,734425
3028,854579
3028,857999
3028,871393
3859,268330
3859,350287
3859,454854
3859,584565
3859,628474
3859,831962
3859,900442
5334,172715
5334,192937
5334,241923
5334,278958
5334,304321
5334,601817
5334,784623
5545,230844
5795,2214
5795,9072
5795,49050
5795,82610
5795,86582
5795,93499
5795,97201
5795,105101
5795,110476
5795,119426
5795,135153
5795,139237
5795,140840
5795,146050
5795,152012
5795,154714
5795,194857
5795,202214
5795,209564
5795,227443
5795,240589
5795,265474
5795,288324
5795,292231
5795,310461
5795,330200
5795,350287
5795,352318
5795,369563
5795,386404
5795,389822
5795,417654
5795,432030
5795,454933
5795,468276
5795,475311
5795,505846
5795,527585
5795,536587
5795,537966
5795,553396
5795,573417
5795,607020
5795,621581
5795,629573
5795,638857
5795,642984
5795,674728
5795,681584
5795,685892
5795,704438
5795,764143
5795,772157
5795,777692
5795,820777
5795,836515
5795,858258
5795,889399
5795,891512
5795,892315
5795,905328
5795,912099
5795,939238
5795,965152
5795,994374
6135,9034
6135,29341
6135,59627
6135,119426
6135,127948
6135,154186
6135,160451
6135,173108
6135,212710
6135,256059
6135,263244
6135,330200
6135,374572
6135,385920
6135,428286
6135,430771
6135,432054
6135,465371
6135,466404
6135,500189
6135,500846
6135,536001
6135,552679
6135,612336
6135,612651
6135,616467
6135,649628
6135,654187
6135,687507
6135,763874
6135,827354
6135,878825
6135,892315
6135,916948
6135,928020
6135,939238
6135,954961
6135,980347
7848,63167
7848,148529
7848,195691
7848,346607
7848,351902
7848,552585
7848,845529
7848,857818
8724,182339
8724,195613
8724,436264
8724,568086
8724,825437
8900,30727
8900,145308
8900,154142
8900,155448
8900,174752
8900,182339
8900,312559
8900,320505
8900,355562
8900,609804
8900,635419
8900,725592
8900,749499
8900,772269
8900,880154
9034,6135
9034,91959
9034,98667
9034,127409
9034,127948
9034,135153
9034,138166
9034,139237
