userID,artistID,weight
145,10905,95
145,10943,99
145,21330,35
145,47956,43
145,55815,86
145,98281,108
145,130947,27
145,142092,438
145,188534,24
145,191894,57
145,226297,57
145,278715,54
145,328981,23
145,332637,126
145,347856,25
145,353894,53
145,357467,22
145,370362,805
145,382937,90
145,390392,55
145,391455,286
145,418232,1439
145,431458,54
145,542682,35
145,555489,34
145,577241,28
145,578208,43
145,600392,144
145,638467,42
145,651712,32
145,664230,48
145,684317,23
145,706679,1384
145,723165,22
145,745541,130
145,765879,1609
145,781927,41
145,809495,34
145,853228,40
145,881552,107
145,900329,24
145,902327,185
145,916809,99
145,974366,20
145,990353,40
145,998441,110
211,18971,385
211,39273,322
211,43194,289
211,83902,887
211,85793,342
211,97410,198
211,151737,1155
211,210488,180
211,224102,194
211,313759,185
211,325752,235
211,335066,256
211,347465,290
211,354495,640
211,424849,363
211,430943,227
211,448565,291
211,450959,266
211,475764,169
211,517511,188
211,524478,180
211,533448,250
211,559298,200
211,627553,335
211,660964,195
211,664315,363
211,664590,211
211,671844,335
211,677308,182
211,754348,228
211,766412,211
211,771666,206
211,784907,197
211,804698,299
211,804873,208
211,829095,186
211,847947,169
211,852650,535
211,890020,257
211,891802,809
211,909943,484
211,929967,162
211,967382,288
211,977444,331
211,978582,172
211,986839,297
1539,12960,890
1539,45981,779
1539,59508,255
1539,77948,297
1539,119936,693
1539,122262,368
1539,130947,1068
1539,197395,236
1539,231968,292
1539,266291,371
1539,317921,414
1539,347942,547
1539,350663,577
1539,353581,396
1539,357432,514
1539,366172,564
1539,377610,557
1539,382578,245
1539,450959,358
1539,456685,237
1539,456691,332
1539,465858,828
1539,474318,417
1539,515834,249
1539,529103,931
1539,550297,726
1539,551963,668
1539,593529,715
1539,600392,649
1539,605543,736
1539,627297,253
1539,638467,1010
1539,660637,355
1539,705131,279
1539,706679,2354
1539,794660,229
1539,811548,333
1539,814978,430
1539,834842,372
1539,859126,855
1539,867625,416
1539,878826,314
1539,890020,316
1539,936394,557
1539,998122,492
2214,56739,129
2214,79296,100
2214,188220,269
2214,201345,122
2214,204506,2417
2214,245654,124
2214,286949,152
2214,289022,44
2214,295020,140
2214,303419,382
2214,326699,34
2214,334554,91
2214,340920,1141
2214,344027,165
2214,350043,525
2214,375660,94
2214,382937,1315
2214,390058,38
2214,390392,511
2214,410799,194
2214,455820,56
2214,496216,92
2214,505712,1173
2214,530856,158
2214,558266,116
2214,577241,370
2214,578208,181
2214,581805,37
2214,596297,1116
2214,632028,53
2214,650106,1143
2214,670355,193
2214,744883,120
2214,751834,149
2214,755236,91
2214,762962,43
2214,777447,87
2214,789306,45
2214,874492,40
2214,877020,114
2214,901798,93
2214,971128,78
2214,987841,133
3028,4769,1321
3028,5201,546
3028,63353,8065
3028,102448,1141
3028,116154,997
3028,122935,1226
3028,182441,491
3028,186098,1605
3028,201345,833
3028,212434,1800
3028,254377,2300
3028,276638,825
3028,332384,2728
3028,342404,1292
3028,362172,1272
3028,384103,706
3028,388395,2178
3028,408531,1156
3028,417849,6193
3028,480584,1201
3028,504450,829
3028,509737,573
3028,525131,1730
3028,542682,583
3028,558974,451
3028,564119,2545
3028,624232,695
3028,641727,491
3028,645629,5522
3028,648005,823
3028,667933,1124
3028,668835,589
3028,730718,1085
3028,779523,586
3028,786627,1143
3028,803621,465
3028,854025,1320
3028,879573,519
3028,929926,1319
3028,954589,2332
3028,963480,2809
3859,31696,1
3859,32011,1
3859,115820,1
3859,181829,2
3859,194520,2
3859,219734,1
3859,239346,2
3859,400299,2
3859,480435,2
3859,528545,2
3859,734395,1
3859,752306,1
3859,816814,1
3859,892085,1
5334,36006,51
5334,45981,64
5334,63353,66
5334,63423,35
5334,103007,81
5334,182566,67
5334,206756,35
5334,238653,82
5334,263689,59
5334,267422,67
5334,288278,33
5334,317921,109
5334,353636,64
5334,357595,61
5334,368099,49
5334,374634,30
5334,401604,94
5334,417825,36
5334,429020,93
5334,456685,80
5334,461895,37
5334,474318,127
5334,482800,39
5334,483957,72
5334,520007,50
5334,531137,30
